,Name,Tweet Order,Text,Compound,Positive,Negative,Neutral,Time,Adj Time
62,@BBC,38,"? 'Words do not live in dictionaries. They live in the mind.'

Hear the only surviving recording of #VirginiaWoolf,… https://t.co/Puwg8Mve7N",0.296,0.109,0.0,0.891,Wed Mar 28 17:00:12 +0000 2018,2018-03-28 17:00:12+00:00
63,@BBC,37,The government rates the global outbreak of a deadly flu virus as a major threat to the UK. But how are flu vaccine… https://t.co/wzMylfDBrP,-0.8225,0.0,0.312,0.688,Wed Mar 28 16:30:00 +0000 2018,2018-03-28 16:30:00+00:00
64,@BBC,36,Slacking off in Dubai. https://t.co/a3oSKIxfSK,0.0,0.0,0.0,1.0,Wed Mar 28 16:00:10 +0000 2018,2018-03-28 16:00:10+00:00
65,@BBC,35,RT @BBCTheOneShow: The fantastic @george_ezra warming up with a quick cuppa after sound check. Join us at 7pm where he’ll be performing liv…,0.7506,0.28,0.0,0.72,Wed Mar 28 15:35:27 +0000 2018,2018-03-28 15:35:27+00:00
66,@BBC,34,"Two-thirds of drivers say they are ""regularly dazzled"" by oncoming headlights. ? https://t.co/gwSgpsP6xx https://t.co/i9m9ph8QM1",0.0,0.0,0.0,1.0,Wed Mar 28 13:32:04 +0000 2018,2018-03-28 13:32:04+00:00
67,@BBC,33,"The Masked Plumber is back. 
And this time, he wants to show you how to unblock a sink trap. https://t.co/t1NIgRpZnO",-0.3182,0.0,0.113,0.887,Wed Mar 28 12:26:01 +0000 2018,2018-03-28 12:26:01+00:00
68,@BBC,32,RT @bbceurovision: We are starting a #Eurovision 2018 group chat. The tea from when @surieofficial met @saaraaalto ? https://t.co/c3PuiYT6S…,0.0,0.0,0.0,1.0,Wed Mar 28 11:50:54 +0000 2018,2018-03-28 11:50:54+00:00
69,@BBC,31,"RT @BBCR1: ""Last night I did have a very, very large bra, and it was very, very sweaty.""

@JaredLeto lets @Grimmers know about what gets th…",0.0,0.0,0.0,1.0,Wed Mar 28 11:49:07 +0000 2018,2018-03-28 11:49:07+00:00
70,@BBC,30,"RT @BBCRadio4: Listen to the first three episodes of The Hitchhiker's Guide to the Galaxy: Hexagonal Phase now.

https://t.co/GdvQZf3ijv

#…",0.0,0.0,0.0,1.0,Wed Mar 28 11:47:35 +0000 2018,2018-03-28 11:47:35+00:00
71,@BBC,29,"RT @bbcworldservice: Do you say fireman or firefighter? The woman in charge of the London Fire Brigade, Dany Cotton, says 'fireman' is sexi…",-0.34,0.0,0.098,0.902,Wed Mar 28 11:47:08 +0000 2018,2018-03-28 11:47:08+00:00
72,@BBC,28,RT @BBCBreakfast: Take a look at this if you're wondering WHO PAYS for running the new plastic bottle and can deposit scheme: https://t.co/…,0.0,0.0,0.0,1.0,Wed Mar 28 11:45:32 +0000 2018,2018-03-28 11:45:32+00:00
